ColumnName,Value,Units,UnitsType,Notes,Expression
GADrawing1,FPD470.F.1,,,Flange Tap DN40-80 CL150-300 1xDN50 Tap Set - EX DN50 CL300 RF,Exp1 AND Exp40 AND Exp61 AND Exp67 AND Exp41
GADrawing1,FPD470.F.2,,,Flange Tap DN40-100 CL150-300 1xDN80 Tap Set - EX DN50 CL300 RF,Exp1 AND Exp40 AND Exp62 AND Exp67 AND Exp42
GADrawing1,FPD470.F.3,,,Flange Tap DN40-80 CL600-900 1xDN50 Tap Set - EX DN50 CL600 RF,Exp1 AND Exp59 AND Exp61 AND Exp67 AND Exp41
GADrawing1,FPD470.F.4,,,Flange Tap DN40-100 CL600-900 1xDN80 Tap Set - EX DN50 CL600 RF,Exp1 AND Exp59 AND Exp62 AND Exp67 AND Exp42
GADrawing1,FPD470.F.5,,,Flange Tap DN40-80 CL1500-2500 1xDN50 Tap Set - EX DN50 CL1500 RF,Exp1 AND Exp60 AND Exp61 AND Exp67 AND Exp41
GADrawing1,FPD470.F.6,,,Flange Tap DN40-100 CL1500-2500 1xDN80 Tap Set - EX DN50 CL1500 RF,Exp1 AND Exp60 AND Exp62 AND Exp67 AND Exp42
GADrawing1,FPD470.F.19,,,Flange Tap DN100-200 CL150-300 1xDN50 Tap Set - EX DN150 CL300 RF,Exp1 AND Exp40 AND Exp63 AND Exp67 AND Exp41
GADrawing1,FPD470.F.20,,,Flange Tap DN150-200 CL150-300 1xDN80 Tap Set - EX DN150 CL300 RF,Exp1 AND Exp40 AND Exp64 AND Exp67 AND Exp42
GADrawing1,FPD470.F.21,,,Flange Tap DN100-200 CL600-900 1xDN50 Tap Set - EX DN150 CL600 RF,Exp1 AND Exp59 AND Exp63 AND Exp67 AND Exp41
GADrawing1,FPD470.F.22,,,Flange Tap DN150-200 CL600-900 1xDN80 Tap Set - EX DN150 CL600 RF,Exp1 AND Exp59 AND Exp64 AND Exp67 AND Exp42
GADrawing1,FPD470.F.23,,,Flange Tap DN100-200 CL1500-2500 1xDN50 Tap Set - EX DN150 CL1500 RF,Exp1 AND Exp60 AND Exp63 AND Exp67 AND Exp41
GADrawing1,FPD470.F.24,,,Flange Tap DN150-200 CL1500-2500 1xDN80 Tap Set - EX DN150 CL1500 RF,Exp1 AND Exp60 AND Exp64 AND Exp67 AND Exp42
GADrawing1,FPD470.F.37,,,Flange Tap DN250-400 CL150-300 1x Tap Set - EX DN300 CL300 RF,Exp1 AND Exp40 AND Exp65 AND Exp67
GADrawing1,FPD470.F.38,,,Flange Tap DN450-900 CL150-300 1x Tap Set - EX DN600 CL300 RF,Exp1 AND Exp40 AND Exp66 AND Exp67
GADrawing1,FPD470.F.39,,,Flange Tap DN250-400 CL600-900 1x Tap Set - EX DN300 CL600 RF,Exp1 AND Exp59 AND Exp65 AND Exp67
GADrawing1,FPD470.F.40,,,Flange Tap DN450-900 CL600-900 1x Tap Set - EX DN600 CL600 RF,Exp1 AND Exp59 AND Exp66 AND Exp67
GADrawing1,FPD470.F.41,,,Flange Tap DN250-400 CL1500-2500 1x Tap Set - EX DN600 CL1500 RF,Exp1 AND Exp60 AND Exp65 AND Exp67
GADrawing1,FPD470.F.42,,,Flange Tap DN450-900 CL1500-2500 1x Tap Set - EX DN600 CL1500 RF,Exp1 AND Exp60 AND Exp66 AND Exp67
GADrawing1,FPD470.F.43,,,Flange Tap DN250-400 CL150-300 2x Tap Sets - EX DN300 CL300 RF,Exp1 AND Exp40 AND Exp65 AND Exp68
GADrawing1,FPD470.F.45,,,Flange Tap DN250-400 CL600-1500 2x Tap Sets - EX DN300 CL600 RF,Exp1 AND Exp59 AND Exp65 AND Exp68
OALengthL,529,mm,length,Flange Tap - DN40 CL150 RF,Exp1 AND Exp13 AND Exp4 AND Exp36
OALengthL,456,mm,length,Flange Tap - DN50 CL150 RF,Exp1 AND Exp14 AND Exp4 AND Exp36
OALengthL,621,mm,length,Flange Tap - DN80 CL150 RF,Exp1 AND Exp16 AND Exp4 AND Exp36
OALengthL,902,mm,length,Flange Tap - DN100 CL150 RF,Exp1 AND Exp18 AND Exp4 AND Exp36
OALengthL,1029,mm,length,Flange Tap - DN150 CL150 RF,Exp1 AND Exp20 AND Exp4 AND Exp36
OALengthL,1092,mm,length,Flange Tap - DN200 CL150 RF,Exp1 AND Exp21 AND Exp4 AND Exp36
OALengthL,1143,mm,length,Flange Tap - DN250 CL150 RF,Exp1 AND Exp22 AND Exp4 AND Exp36
OALengthL,1321,mm,length,Flange Tap - DN300 CL150 RF,Exp1 AND Exp23 AND Exp4 AND Exp36
OALengthL,1396,mm,length,Flange Tap - DN350 CL150 RF,Exp1 AND Exp24 AND Exp4 AND Exp36
OALengthL,1472,mm,length,Flange Tap - DN400 CL150 RF,Exp1 AND Exp25 AND Exp4 AND Exp36
OALengthL,1575,mm,length,Flange Tap - DN450 CL150 RF,Exp1 AND Exp26 AND Exp4 AND Exp36
OALengthL,1687,mm,length,Flange Tap - DN500 CL150 RF,Exp1 AND Exp27 AND Exp4 AND Exp36
OALengthL,1854,mm,length,Flange Tap - DN600 CL150 RF,Exp1 AND Exp29 AND Exp4 AND Exp36
OALengthL,1866,mm,length,Flange Tap - DN650 CL150 RF,Exp1 AND Exp30 AND Exp4 AND Exp36
OALengthL,1852,mm,length,Flange Tap - DN700 CL150 RF,Exp1 AND Exp31 AND Exp4 AND Exp36
OALengthL,2019,mm,length,Flange Tap - DN750 CL150 RF,Exp1 AND Exp32 AND Exp4 AND Exp36
OALengthL,2071,mm,length,Flange Tap - DN850 CL150 RF,Exp1 AND Exp34 AND Exp4 AND Exp36
OALengthL,2067,mm,length,Flange Tap - DN900 CL150 RF,Exp1 AND Exp35 AND Exp4 AND Exp36
OALengthL,543,mm,length,Flange Tap - DN40 CL300 RF,Exp1 AND Exp13 AND Exp5 AND Exp36
OALengthL,558,mm,length,Flange Tap - DN50 CL300 RF,Exp1 AND Exp14 AND Exp5 AND Exp36
OALengthL,641,mm,length,Flange Tap - DN80 CL300 RF,Exp1 AND Exp16 AND Exp5 AND Exp36
OALengthL,920,mm,length,Flange Tap - DN100 CL300 RF,Exp1 AND Exp18 AND Exp5 AND Exp36
OALengthL,1048,mm,length,Flange Tap - DN150 CL300 RF,Exp1 AND Exp20 AND Exp5 AND Exp36
OALengthL,1112,mm,length,Flange Tap - DN200 CL300 RF,Exp1 AND Exp21 AND Exp5 AND Exp36
OALengthL,1175,mm,length,Flange Tap - DN250 CL300 RF,Exp1 AND Exp22 AND Exp5 AND Exp36
OALengthL,1353,mm,length,Flange Tap - DN300 CL300 RF,Exp1 AND Exp23 AND Exp5 AND Exp36
OALengthL,1428,mm,length,Flange Tap - DN350 CL300 RF,Exp1 AND Exp24 AND Exp5 AND Exp36
OALengthL,1510,mm,length,Flange Tap - DN400 CL300 RF,Exp1 AND Exp25 AND Exp5 AND Exp36
OALengthL,1613,mm,length,Flange Tap - DN450 CL300 RF,Exp1 AND Exp26 AND Exp5 AND Exp36
OALengthL,1721,mm,length,Flange Tap - DN500 CL300 RF,Exp1 AND Exp27 AND Exp5 AND Exp36
OALengthL,1886,mm,length,Flange Tap - DN600 CL300 RF,Exp1 AND Exp29 AND Exp5 AND Exp36
OALengthL,1994,mm,length,Flange Tap - DN650 CL300 RF,Exp1 AND Exp30 AND Exp5 AND Exp36
OALengthL,1994,mm,length,Flange Tap - DN700 CL300 RF,Exp1 AND Exp31 AND Exp5 AND Exp36
OALengthL,2165,mm,length,Flange Tap - DN750 CL300 RF,Exp1 AND Exp32 AND Exp5 AND Exp36
